ID_MASTER,Framework_Name,Region_Culture,Macro_Region,Intellectual_Tradition,Core_Triad,UTCP_Mapping,Regime_Type,Closure_Function,Depth,Integrity,Lineage_Cluster,Blurb,Primary_Source,Parse_Flag
1,Pretorius Gradientology,Modern Theoretical,Modern Global – Philosophical/Meta,Contemporary Triadic Metaframework,E (Systematization) | C (Constraint) | F (Feedback/Registration),I≈E (Systematization); R≈C (Constraint); Sem≈F (Feedback/Registration),Gradient,TI = 0.336 multiplicative,20,4,Parent III — Relational / Emergent-Integrative,,4,
2,Universal Theory of Constrained Possibility (UTCP),Modern Theoretical,Modern Global – Mixed/General,Constraint-Based Ontology,I (Indicative/Availability) | R (Relational/Coupling) | Sem (Semantic/Coherence),I≈I (Indicative/Availability); R≈R (Relational/Coupling); Sem≈Sem (Semantic/Coherence),Gradient,L = I·R·Sem,19,2,Parent III — Relational / Emergent-Integrative,,2,
3,CAT'S Theory,Modern Theoretical,Modern Global – Philosophical/Meta,Contemporary Triadic Metaframework,Ψ (Pattern) | I (Intent: Ic×Ib) | Pr (Presence),I≈Ψ (Pattern); R≈I (Intent: Ic×Ib); Sem≈Pr (Presence),Torsional,R = Ψ×I×Pr,20,4,Parent III — Relational / Emergent-Integrative,,4,
4,Unicist ORE,Modern Theoretical,Modern Global – Philosophical/Meta,Contemporary Triadic Metaframework,Purpose | Active Function | Energy Conservation,I≈Purpose; R≈Active Function; Sem≈Energy Conservation,Torsional,Double dialectic,19,2,Parent II — Structural / Constraint-Dynamical,,2,
5,ORT (Omniological Resonance Theory),Modern Theoretical,Modern Global – Scientific/Technical,Harmonic Recursion Systems Theory,Resonant structure | Harmonic drive / recursive modulation | Onto-resonant topology,I≈Resonant structure; R≈Harmonic drive / recursive modulation; Sem≈Onto-resonant topology,Torsional,Implicit quaternionic,19,4,Parent II — Structural / Constraint-Dynamical,,4,
6,RHF (Recursive Harmonic Framework),Modern Theoretical,Modern Global – Scientific/Technical,Harmonic Recursion Systems Theory,Line (linear flow) | Pendulum (oscillation) | Cone (emergent curvature),I≈Line (linear flow); R≈Pendulum (oscillation); Sem≈Cone (emergent curvature),Torsional,Bolt Constant (3-body),19,4,Parent III — Relational / Emergent-Integrative,,4,
7,HRC (Harmonic Recursive Codex),Modern Theoretical,Modern Global – Scientific/Technical,Harmonic Recursion Systems Theory,Observer-anchored fold | Prime/golden recursion | Density field collapse,I≈Observer-anchored fold; R≈Prime/golden recursion; Sem≈Density field collapse,Torsional,Recursive folding,19,4,Parent I — Ontological / Field-Foundational,,4,
8,RES→RAG→ORT,Modern Theoretical,Modern Global – Philosophical/Meta,Contemporary Triadic Metaframework,RES (Residual Energy) | RAG (Resonant Gradient) | ORT (Time Resonance),I≈RES (Residual Energy); R≈RAG (Resonant Gradient); Sem≈ORT (Time Resonance),Torsional,Bridging model,19,4,Parent II — Structural / Constraint-Dynamical,,4,
9,Triadic Intelligence Framework,Modern Theoretical,Modern Global – Philosophical/Meta,Contemporary Triadic Metaframework,Human / Individual | AI Agent(s) | Relational Field / Third,I≈Human / Individual; R≈AI Agent(s); Sem≈Relational Field / Third,Torsional,Implicit field,19,4,Parent I — Ontological / Field-Foundational,,4,
10,Resonant Paradox Engine,Modern Theoretical,Modern Global – Scientific/Technical,Paradox / Engineered Systems Metamodel,Subjective Seed (I) | Recursive Functions | Collective Metrics ('We'),I≈Subjective Seed (I); R≈Recursive Functions; Sem≈Collective Metrics ('We'),Torsional,Great Loop recursion,19,4,Parent III — Relational / Emergent-Integrative,,4,
11,PQF (Ontology of Zazua),Modern Theoretical,Modern Global – Philosophical/Meta,Contemporary Triadic Metaframework,Tension field | Accessibility reorganization | Zazua operator,I≈Tension field; R≈Accessibility reorganization; Sem≈Zazua operator,Torsional,Resonance threshold,19,4,Parent I — Ontological / Field-Foundational,,4,
12,Recursive Harmonic Fields (collaborative meta),Modern Theoretical,Modern Global – Scientific/Technical,Harmonic Recursion Systems Theory,24D quaternionic phase space | Divine Equation (recursive scalar) | Conefold Emergence,I≈24D quaternionic phase space; R≈Divine Equation (recursive scalar); Sem≈Conefold Emergence,Torsional,24D→3D compression,19,4,Parent I — Ontological / Field-Foundational,,4,
13,TRAM (Triadic Resonance Aether Model),Modern Theoretical,Modern Global – Scientific/Technical,Harmonic Recursion Systems Theory,Harmonic Field Coherence | Resonance Scaffolding / Phase Drift | Stationary Resonance Closure,I≈Harmonic Field Coherence; R≈Resonance Scaffolding / Phase Drift; Sem≈Stationary Resonance Closure,Torsional,Harmonic synthesis,20,2,Parent I — Ontological / Field-Foundational,,2,
14,RHA (Nexus Recursive Harmonic Framework),Modern Theoretical,Modern Global – Scientific/Technical,Harmonic Recursion Systems Theory,Triangular Quantization (1-5-9) | Recursive Folding / Breath | Harmonic Collapse / Echo,I≈Triangular Quantization (1-5-9); R≈Recursive Folding / Breath; Sem≈Harmonic Collapse / Echo,Torsional,~0.35 attractor ratio,19,4,Parent II — Structural / Constraint-Dynamical,,4,
15,QPT (Quaternion Process Theory),Modern Theoretical,Modern Global – Philosophical/Meta,Process Structural Metaphysics,Firstness (Qualities) | Secondness (Actions) | Thirdness (Mediation),I≈Firstness (Qualities); R≈Secondness (Actions); Sem≈Thirdness (Mediation),Torsional,Tensegrity nesting,19,2,Parent II — Structural / Constraint-Dynamical,,2,
16,Recursive Sciences / Triadic Minimum,Modern Theoretical,Modern Global – Philosophical/Meta,Recursive Process Metatheory,Observed Domain (O) | Observer Function (I) | Relational Ground (N),I≈Observed Domain (O); R≈Observer Function (I); Sem≈Relational Ground (N),Gradient,Ψ′ = Ψ + ε(δ),19,2,Parent I — Ontological / Field-Foundational,,2,
17,CHT (Collapse Harmonics Theory),Modern Theoretical,Modern Global – Scientific/Technical,Harmonic Recursion Systems Theory,Boundary / Substrate | Collapse-Phase Dynamics | Harmonic Return,I≈Boundary / Substrate; R≈Collapse-Phase Dynamics; Sem≈Harmonic Return,Torsional,Recursive saturation,19,2,Parent I — Ontological / Field-Foundational,,2,
18,RMO (Recursive Modal Ontology),Modern Theoretical,Modern Global – Philosophical/Meta,Recursive Process Metatheory,Scalar Harmonic Base | Recursive Modulation | Emergent Modal Closure,I≈Scalar Harmonic Base; R≈Recursive Modulation; Sem≈Emergent Modal Closure,Torsional,Scalar synthesis,20,2,Parent I — Ontological / Field-Foundational,,2,
19,Phase–Scale–Form Ontology,Sub-Saharan Africa,Sub-Saharan Africa,Contemporary Triadic Metaframework,Dimensional Tensegrity | Dimensional Coherence | Dimensional Resonance,I≈Dimensional Tensegrity; R≈Dimensional Coherence; Sem≈Dimensional Resonance,Gradient,Multi-scale robustness,19,2,Parent I — Ontological / Field-Foundational,,2,
20,Law of the Trio,Modern Theoretical,Modern Global – Philosophical/Meta,Contemporary Triadic Metaframework,Thought (mental) | Language (symbolic) | Reality (ontological),I≈Thought (mental); R≈Language (symbolic); Sem≈Reality (ontological),Branching,Recursive modifier,19,2,Parent II — Structural / Constraint-Dynamical,,2,
